ID	taxonomy	Taxon	Taxon Level	Feeding	Lifestyle	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
Genus02820	Ascomycota;Pezizomycotina;Sordariomycetes;Hymenostilbe	Hymenostilbe	13	Pathotroph	Fungal Parasite	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02823	Ascomycota;Pezizomycotina;Sordariomycetes;Hypocrella	Hypocrella	13	Pathotroph-Symbiotroph	Animal Pathogen-Clavicipitaceous Endophyte	NULL	NULL	Possible	Endophyte detection method-culture (Koroch et al. 2006)	b'Koroch AR, et al. 2006. Symbiosis 42:39-44 ((http://hdl.handle.net/10222/78249)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02825	Ascomycota;Pezizomycotina;Sordariomycetes;Hypomyces	Hypomyces	13	Pathotroph	Fungal Parasite	NULL	NULL	Highly Probable	Sexual form with asexual forms spread across multiple genera	b'List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf))'
Genus02826	Ascomycota;Pezizomycotina;Sordariomycetes;Hyponectria	Hyponectria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02828	Ascomycota;Pezizomycotina;Sordariomycetes;Illosporium	Illosporium	13	Pathotroph	Lichen Parasite	NULL	NULL	Possible	NULL	b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'
Genus02830	Ascomycota;Pezizomycotina;Sordariomycetes;Isaria	Isaria	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02831	Ascomycota;Pezizomycotina;Sordariomycetes;Jattaea	Jattaea	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02833	Ascomycota;Pezizomycotina;Sordariomycetes;Kallichroma	Kallichroma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02835	Ascomycota;Pezizomycotina;Sordariomycetes;Knoxdaviesia	Knoxdaviesia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02836	Ascomycota;Pezizomycotina;Sordariomycetes;Kohlmeyeriella	Kohlmeyeriella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02837	Ascomycota;Pezizomycotina;Sordariomycetes;Koralionastes	Koralionastes	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02838	Ascomycota;Pezizomycotina;Sordariomycetes;Kylindria	Kylindria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02839	Ascomycota;Pezizomycotina;Sordariomycetes;Lasiosphaeria	Lasiosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02840	Ascomycota;Pezizomycotina;Sordariomycetes;Lasiosphaeriaceae	Lasiosphaeriaceae	9	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
Genus02841	Ascomycota;Pezizomycotina;Sordariomycetes;Lasiosphaeris	Lasiosphaeris	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02842	Ascomycota;Pezizomycotina;Sordariomycetes;Lecanicillium	Lecanicillium	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02843	Ascomycota;Pezizomycotina;Sordariomycetes;Lecythophora	Lecythophora	13	Symbiotroph	Endophyte	NULL	NULL	Highly Probable	Dark Septate Endophyte, known from plant roots.	b'Taylor DL, et al. 2014. Ecological Monographs 84:3-20 ((https://esajournals.onlinelibrary.wiley.com/doi/10.1890/12-1693.1))'
Genus02844	Ascomycota;Pezizomycotina;Sordariomycetes;Lentomitella	Lentomitella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02845	Ascomycota;Pezizomycotina;Sordariomycetes;Lepteutypa	Lepteutypa	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
Genus02846	Ascomycota;Pezizomycotina;Sordariomycetes;Leptographium	Leptographium	13	Pathotroph	Plant Pathogen	NULL	Blue-Staining	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02847	Ascomycota;Pezizomycotina;Sordariomycetes;Leuconectria	Leuconectria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02848	Ascomycota;Pezizomycotina;Sordariomycetes;Leucostoma	Leucostoma	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02850	Ascomycota;Pezizomycotina;Sordariomycetes;Lindra	Lindra	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02853	Ascomycota;Pezizomycotina;Sordariomycetes;Lulwoana	Lulwoana	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02854	Ascomycota;Pezizomycotina;Sordariomycetes;Lulworthia	Lulworthia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02855	Ascomycota;Pezizomycotina;Sordariomycetes;Lunulospora	Lunulospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02858	Ascomycota;Pezizomycotina;Sordariomycetes;Madurella	Madurella	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	Opportunistic human pathogen	b'https://www.cdc.gov ((https://www.cdc.gov))'
Genus02859	Ascomycota;Pezizomycotina;Sordariomycetes;Magnaporthe	Magnaporthe	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	Species in this genus cause rice blast and take-all; Usually necrotrophic on roots (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02861	Ascomycota;Pezizomycotina;Sordariomycetes;Magnisphaera	Magnisphaera	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02865	Ascomycota;Pezizomycotina;Sordariomycetes;Mazzantia	Mazzantia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02866	Ascomycota;Pezizomycotina;Sordariomycetes;Megalohypha	Megalohypha	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02867	Ascomycota;Pezizomycotina;Sordariomycetes;Melanconis	Melanconis	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
